"subjectID","wave","task","run","nVols","percent"
"TPOT074",1,"affect_acq-1",1,0,0
"TPOT074",1,"affect_acq-2",2,0,0
"TPOT074",1,"rest",1,0,0
"TPOT074",1,"rest",2,0,0
"TPOT075",1,"affect_acq-1",1,0,0
"TPOT075",1,"affect_acq-2",2,0,0
"TPOT075",1,"rest",1,0,0
"TPOT075",1,"rest",2,0,0
"TPOT077",1,"affect_acq-1",1,0,0
"TPOT077",1,"affect_acq-2",2,0,0
"TPOT077",1,"rest",1,0,0
"TPOT077",1,"rest",2,0,0
"TPOT078",1,"affect_acq-1",1,0,0
"TPOT078",1,"affect_acq-2",2,0,0
"TPOT078",1,"rest",1,0,0
"TPOT078",1,"rest",2,0,0
"TPOT079",1,"affect_acq-1",1,1,0.5
"TPOT079",1,"affect_acq-2",2,1,0.5
"TPOT079",1,"rest",1,0,0
"TPOT079",1,"rest",2,0,0
"TPOT080",1,"affect_acq-1",1,3,1.6
"TPOT080",1,"affect_acq-2",2,8,4.3
"TPOT080",1,"rest",1,0,0
"TPOT080",1,"rest",2,0,0
"TPOT081",1,"affect_acq-1",1,0,0
"TPOT081",1,"affect_acq-2",2,1,0.5
"TPOT081",1,"rest",1,2,0.5
"TPOT081",1,"rest",2,0,0
"TPOT083",1,"affect_acq-1",1,2,1.1
"TPOT083",1,"affect_acq-2",2,2,1.1
"TPOT083",1,"rest",1,0,0
"TPOT083",1,"rest",2,0,0
"TPOT084",1,"affect_acq-1",1,0,0
"TPOT084",1,"affect_acq-2",2,0,0
"TPOT084",1,"rest",1,1,0.3
"TPOT084",1,"rest",2,0,0
"TPOT085",1,"affect_acq-1",1,0,0
"TPOT085",1,"affect_acq-2",2,0,0
"TPOT085",1,"rest",1,0,0
"TPOT085",1,"rest",2,0,0
"TPOT086",1,"affect_acq-1",1,0,0
"TPOT086",1,"affect_acq-2",2,0,0
"TPOT086",1,"rest",1,0,0
"TPOT086",1,"rest",2,0,0
"TPOT090",1,"affect_acq-1",1,5,2.7
"TPOT090",1,"affect_acq-2",2,2,1.1
"TPOT090",1,"rest",1,0,0
"TPOT090",1,"rest",2,0,0
"TPOT091",1,"affect_acq-1",1,0,0
"TPOT091",1,"affect_acq-2",2,0,0
"TPOT091",1,"rest",1,0,0
"TPOT091",1,"rest",2,0,0
"TPOT092",1,"affect_acq-1",1,0,0
"TPOT092",1,"affect_acq-2",2,7,3.8
"TPOT092",1,"rest",1,0,0
"TPOT092",1,"rest",2,0,0
"TPOT093",1,"affect_acq-1",1,24,13
"TPOT093",1,"affect_acq-2",2,18,9.7
"TPOT093",1,"rest",1,0,0
